ID,NOMBRE,NOMBRE_CIUDAD,DIRECCION,ID_ESTADO,NOMBRE_ESTADO,NUM_DERBIS,NUM_LIBRES,NUM_OCUPADOS,LAT,LON,ID_EXTERNO
"13","Arroyo Ángeles","MALAGA","Arroyo de los Ángeles","5","Con incidencia","21","9","8",36.731595,-4.436969,"19"
"17","Av. Andalucía","MALAGA","Av Andalucía (Plaza de Manuel Alcántara)","5","Con incidencia","27","9","3",36.717187,-4.430084,"13"
"14","C. Mármoles","MALAGA","C/. Mármoles (Esq. C/. Jaboneros)","5","Con incidencia","21","8","4",36.721803,-4.428937,"18"
"11","C.A.C.","MALAGA","Av. Comandante Benítez (Centro de Arte Contemporáneo)","5","Con incidencia","24","9","3",36.71543,-4.425562,"4"
"7","Cdad. Deportiva","MALAGA","Avda. Santa Rosa de Lima (Ciudad Deportiva)","5","Con incidencia","30","12","4",36.721244,-4.448941,"9"
"9","Cdad. Jardín","MALAGA","Polideportivo Ciudad Jadín","5","Con incidencia","24","13","5",36.749820,-4.423711,"11"
"21","Cdad. Justicia","MALAGA","Bulevar Luis Pasteur (Ciudad de la Justicia)","5","Con incidencia","30","14","5",36.718124,-4.463405,"16"
"20","Col. Sta. Inés","MALAGA","Navarro Ledesma ( Colonia Sta. Inés )","5","Con incidencia","30","8","16",36.724267,-4.470409,"15"
"6","Diputación","MALAGA","Paseo Antonio Banderas (Diputación)","5","Con incidencia","24","7","16",36.689061,-4.442755,"7"
"8","E. Usos Mult.","MALAGA","Paseo Antonio Machado (Edif. Usos Múltiples)","5","Con incidencia","27","1","11",36.70994, -4.427964,"5"
"2","Est. Autobuses","MALAGA","Estación de Autobuses","5","Con incidencia","18","5","7",36.71276,-4.432968,"14"
"1","G. Ginachero","MALAGA","Av. Dr. Gálvez Ginachero.","5","Con incidencia","24","3","5",36.726922,-4.427657,"10"
"12","Mnez. Maldonado","MALAGA","C/ Martínez Maldonado (Junta de distrito 4)","5","Con incidencia","24","10","7",36.721596,-4.438069,"8"
"3","Princesa","MALAGA","Paseo Antonio Machado (C/ Princesa)","5","Con incidencia","31","7","19",36.699694,-4.43573,"6"
"10","Pz. Marina","MALAGA","Plaza de la Marina 1 Málaga","5","Con incidencia","48","22","7",36.718507,-4.420138,"1"
"5","Pz. Merced","MALAGA","Plaza de la Merced","5","Con incidencia","21","6","7",36.723308,-4.417041,"3"
"18","Pz. Torrijos","MALAGA","Plaza de Torrijos","5","Con incidencia","30","13","4",36.720893,-4.410078,"2"
"15","Rectorado","MALAGA","Av.Cervantes (Rectorado)","5","Con incidencia","24","0","11",36.719897,-4.416343,"12"
